uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,cnSampleID,cnSampleCode,sampleType,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF,publicationDate,release
c89430a4-1bb8-40a1-a0a2-a25c30e02344,2017-03-30,BART_037.basePlot.ltr,D01,BART,BART_037,tower,2016-09-20T16:00:00Z,2016-10-11T16:00:00Z,NEON.LTR.BART037.20161011.NDL,NEON.LTR.BART037.20161011.NDL.CN,NA,vegetation,N,-2.2,-29.2,0.5,51.1,100.1,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
afe707f9-43c8-4ec7-a3ab-59b369445c6e,2017-03-30,BART_042.basePlot.ltr,D01,BART,BART_042,tower,2016-09-20T16:00:00Z,2016-10-11T16:00:00Z,NEON.LTR.BART042.20161011.LVS,NEON.LTR.BART042.20161011.LVS.CN,NA,vegetation,N,-2,-27.9,0.7,48.1,68.4,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
a7fb0977-7d25-4355-9062-b4d2f1b06325,2017-03-30,BART_046.basePlot.ltr,D01,BART,BART_046,tower,2016-09-20T16:00:00Z,2016-10-11T16:00:00Z,NEON.LTR.BART046.20161011.LVS,NEON.LTR.BART046.20161011.LVS.CN,NA,vegetation,N,-3.6,-28.1,0.6,50.5,82.6,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
2daadc22-6008-4672-ae3e-1ac6f36fcee8,2017-03-30,BART_050.basePlot.ltr,D01,BART,BART_050,tower,2016-09-20T16:00:00Z,2016-10-11T16:00:00Z,NEON.LTR.BART050.20161011.LVS,NEON.LTR.BART050.20161011.LVS.CN,NA,vegetation,N,-1.7,-27.9,0.7,47.7,65.8,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
b4f98206-b13f-4767-bd36-0487c4d58527,2017-03-30,BART_072.basePlot.ltr,D01,BART,BART_072,tower,2016-09-20T16:00:00Z,2016-10-11T16:00:00Z,NEON.LTR.BART072.20161011.NDL,NEON.LTR.BART072.20161011.NDL.CN,NA,vegetation,N,-1.6,-29.9,0.5,52.5,113.1,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
c679493c-0977-4f7a-9895-d4d52c8b2aeb,2017-03-31,BART_074.basePlot.ltr,D01,BART,BART_074,tower,2016-09-20T16:00:00Z,2016-10-11T16:00:00Z,NEON.LTR.BART074.20161011.NDL,NEON.LTR.BART074.20161011.NDL.CN,NA,vegetation,N,-2.1,-30.6,0.4,52.2,117.6,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
57a4e23a-ca81-42ff-98e1-701d1d0d5832,2017-04-22,BART_044.basePlot.ltr,D01,BART,BART_044,tower,2016-09-20T16:00:00Z,2016-10-11T16:00:00Z,NEON.LTR.BART044.20161011.NDL,NEON.LTR.BART044.20161011.NDL.CN,NA,vegetation,N,-1.9,-29,0.4,53.2,126.6,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
11a835c2-7594-49e0-9e83-97887a1996a1,2017-03-31,BART_074.basePlot.ltr,D01,BART,BART_074,tower,2016-09-20T16:00:00Z,2016-10-11T16:00:00Z,NEON.LTR.BART074.20161011.LVS,NEON.LTR.BART074.20161011.LVS.CN,NA,vegetation,N,-1.8,-28.2,0.7,50,73.5,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
165bec8d-f51e-447b-85bf-e5c6edd89525,2017-03-30,BART_037.basePlot.ltr,D01,BART,BART_037,tower,2016-09-20T16:00:00Z,2016-10-11T16:00:00Z,NEON.LTR.BART037.20161011.NDL,NEON.LTR.BART037.20161011.NDL.CN,NA,vegetation,N,-2.3,-29.3,0.5,50.9,98.2,OK,OK,NA,NA,2,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
d4a6d91e-d433-4d97-a108-19d27fd20cce,2017-03-30,BART_044.basePlot.ltr,D01,BART,BART_044,tower,2016-09-20T16:00:00Z,2016-10-11T16:00:00Z,NEON.LTR.BART044.20161011.LVS,NEON.LTR.BART044.20161011.LVS.CN,NA,vegetation,N,-3.3,-28.4,0.6,50.3,88.2,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
